symbol,date_et,hour_et,open,high,low,close,range
AAPL,2025-05-13,9,210.43,211.6657,209.08,211.45,2.58569
AAPL,2025-05-13,10,211.445,211.88,211.08,211.385,0.8
AAPL,2025-05-13,11,211.3975,211.61,210.48,211.28,1.13
AAPL,2025-05-13,12,211.28,211.94,210.9098,211.71,1.0302
AAPL,2025-05-13,13,211.71,212.97,211.7099,212.46,1.2601
AAPL,2025-05-13,14,212.4752,213.4,212.04,213.23,1.36
AAPL,2025-05-13,15,213.19,213.36,212.605,212.84,0.755
AAPL,2025-05-14,9,212.425,213.94,211.87,213.29,2.07001
AAPL,2025-05-14,10,213.305,213.7164,211.8898,212.62,1.8266
AAPL,2025-05-14,11,212.618,212.88,211.99,212.29,0.89
AAPL,2025-05-14,12,212.295,212.6,210.5801,210.96,2.01991
AAPL,2025-05-14,13,210.97,211.9452,210.96,211.37,0.9852
AAPL,2025-05-14,14,211.38,212.05,210.99,211.3595,1.06
AAPL,2025-05-14,15,211.34,212.6,211.24,212.41,1.36
AAPL,2025-05-15,9,210.995,212.53,209.54,210.275,2.99001
AAPL,2025-05-15,10,210.32,212.8,210.19,212.4964,2.61
AAPL,2025-05-15,11,212.5,212.96,211.4101,211.6417,1.54991
AAPL,2025-05-15,12,211.63,212.28,211.21,212.1201,1.06999
AAPL,2025-05-15,13,212.13,212.13,210.26,210.63,1.87001
AAPL,2025-05-15,14,210.63,211.21,210.325,210.36,0.88501
AAPL,2025-05-15,15,210.35,211.46,210.15,211.458,1.31001
AAPL,2025-05-16,9,212.32,212.57,210.56,210.6,2.01001
AAPL,2025-05-16,10,210.59,210.66,209.77,210.08,0.89
AAPL,2025-05-16,11,210.09,211.1499,210.09,210.955,1.05991
AAPL,2025-05-16,12,210.96,211.42,210.7,211.11,0.72
AAPL,2025-05-16,13,211.11,211.74,210.73,211.62,1.01001
AAPL,2025-05-16,14,211.63,211.93,211.43,211.725,0.5
AAPL,2025-05-16,15,211.71,211.73,211.11,211.19,0.62
